run_id,status,batch_size,sample_ids,input_lens,output_lens,max_input_len,max_output_len,max_n_generated,batch_ttft_ms,batch_e2e_ms,error
0,OK,2,"[4003, 6171]","[8, 15]","[1043, 189]",15,1043,1043,,10962.516,
1,OK,2,"[9237, 8023]","[12, 15]","[418, 301]",15,418,418,,4431.059,
2,OK,2,"[8, 3781]","[25, 51]","[1418, 461]",51,1418,1418,,14941.261,
3,OK,2,"[3819, 1627]","[29, 50]","[576, 1031]",50,1031,1031,,10916.214,
4,OK,2,"[4109, 9009]","[55, 10]","[232, 834]",55,834,834,,8769.913,
5,OK,2,"[7641, 9766]","[27, 16]","[720, 560]",27,720,720,,7646.196,
6,OK,2,"[9680, 957]","[28, 19]","[1296, 450]",28,1296,1296,,13656.971,
7,OK,2,"[593, 688]","[28, 28]","[356, 1811]",28,1811,1811,,19116.146,
8,OK,2,"[9710, 9343]","[56, 38]","[1835, 692]",56,1835,1835,,19495.03,
9,OK,2,"[5863, 4897]","[58, 31]","[1511, 2357]",58,2357,2357,,25497.29,
10,OK,2,"[9075, 251]","[34, 25]","[179, 350]",34,350,350,,3709.429,
11,OK,2,"[5671, 6681]","[22, 40]","[124, 321]",40,321,321,,3405.938,
12,OK,2,"[1452, 4762]","[35, 19]","[896, 1601]",35,1601,1601,,17105.219,
13,OK,2,"[6446, 2706]","[11, 32]","[1475, 375]",32,1475,1475,,15589.607,
14,OK,2,"[8328, 6759]","[54, 31]","[1172, 523]",54,1172,1172,,12420.818,
15,OK,2,"[9435, 9584]","[30, 29]","[1059, 550]",30,1059,1059,,11237.142,
16,OK,2,"[464, 2840]","[33, 33]","[1053, 597]",33,1053,1053,,11192.416,
17,OK,2,"[7847, 5796]","[11, 36]","[1409, 1996]",36,1996,1996,,21530.818,
18,OK,2,"[8404, 8505]","[18, 28]","[604, 394]",28,604,604,,6418.141,
19,OK,2,"[8566, 9965]","[24, 32]","[262, 235]",32,262,262,,2796.816,
20,OK,2,"[5910, 1003]","[19, 14]","[167, 503]",19,503,503,,5323.654,
21,OK,2,"[5031, 9264]","[30, 41]","[1229, 1440]",41,1440,1440,,15539.436,
22,OK,2,"[78, 1245]","[40, 6]","[786, 641]",40,786,786,,8392.467,
23,OK,2,"[5405, 7389]","[18, 22]","[1924, 1238]",22,1924,1924,,20682.179,
24,OK,2,"[9070, 7808]","[25, 65]","[840, 1328]",65,1328,1328,,14192.576,
25,OK,2,"[9858, 256]","[32, 18]","[1032, 1685]",32,1685,1685,,18055.197,
26,OK,2,"[787, 3072]","[38, 9]","[193, 616]",38,616,616,,6514.092,
27,OK,2,"[4360, 4464]","[40, 25]","[562, 948]",40,948,948,,10080.497,
28,OK,2,"[1592, 2279]","[36, 13]","[771, 383]",36,771,771,,8163.325,
29,OK,2,"[9148, 817]","[21, 31]","[1324, 1569]",31,1569,1569,,16933.928,
30,OK,2,"[2824, 1252]","[22, 24]","[718, 1027]",24,1027,1027,,10960.568,
31,OK,2,"[2402, 2138]","[44, 17]","[967, 667]",44,967,967,,10304.837,
32,OK,2,"[603, 9216]","[49, 16]","[1018, 287]",49,1018,1018,,10746.493,
33,OK,2,"[8275, 743]","[49, 75]","[870, 187]",75,870,870,,9174.318,
34,OK,2,"[829, 3997]","[49, 16]","[904, 217]",49,904,904,,9536.986,
35,OK,2,"[1209, 423]","[31, 7]","[318, 585]",31,585,585,,6214.357,
36,OK,2,"[5585, 3713]","[19, 38]","[610, 196]",38,610,610,,6444.444,
37,OK,2,"[846, 5715]","[24, 8]","[518, 1215]",24,1215,1215,,12885.226,
38,OK,2,"[6439, 9133]","[54, 14]","[259, 243]",54,259,259,,2766.136,
39,OK,2,"[5555, 909]","[8, 9]","[299, 566]",9,566,566,,6005.869,
40,OK,2,"[3071, 6133]","[48, 11]","[1567, 235]",48,1567,1567,,16524.697,
41,OK,2,"[9258, 4021]","[12, 24]","[287, 423]",24,423,423,,4501.824,
42,OK,2,"[6806, 5401]","[61, 15]","[1309, 286]",61,1309,1309,,13806.523,
43,OK,2,"[726, 9769]","[51, 53]","[424, 344]",53,424,424,,4517.173,
44,OK,2,"[4310, 307]","[36, 23]","[880, 658]",36,880,880,,9381.29,
45,OK,2,"[1300, 8318]","[56, 22]","[319, 895]",56,895,895,,9460.074,
46,OK,2,"[2212, 6705]","[18, 37]","[526, 1007]",37,1007,1007,,10685.445,
47,OK,2,"[7407, 1539]","[37, 12]","[263, 896]",37,896,896,,9448.17,
48,OK,2,"[9030, 359]","[27, 39]","[302, 1342]",39,1342,1342,,14147.204,
49,OK,2,"[5118, 376]","[9, 27]","[258, 1705]",27,1705,1705,,17988.981,
