layer,sequences,time_us
lm_head,1,5126.59
lm_head,2,5028.59
lm_head,3,5040.31
lm_head,4,4998.21
lm_head,5,4666.89
lm_head,6,4410.69
lm_head,7,4001.47
lm_head,8,3661.09
lm_head,9,3299.75
lm_head,10,3055.26
lm_head,11,2872.63
lm_head,12,2694.16
lm_head,13,2588.36
lm_head,14,2551.9
lm_head,15,2577.85
lm_head,16,2613.53
lm_head,20,2615.39
lm_head,24,2601.14
lm_head,28,2617.3
lm_head,32,2403.79
sampler,1,1.05
sampler,2,1.1
sampler,3,1.15
sampler,4,1.2
sampler,5,1.25
sampler,6,1.3
sampler,7,1.35
sampler,8,1.4
sampler,9,1.45
sampler,10,1.5
sampler,11,1.55
sampler,12,1.6
sampler,13,1.65
sampler,14,1.7
sampler,15,1.75
sampler,16,1.8
sampler,20,2
sampler,24,2.2
sampler,28,2.4
sampler,32,2.6
